"die number",discard_thickness,ram_speed,billet_length,billet_temperature,billet_taper_heating,billet_size,die_temperature,die_heating_time,stretch_ratio,value_l,value_m,value_n,nbn
CM32AS-V02D,25,6,600,450,100,9,480,5,0.6,1.5,15,16,1B1
CM40AS-V02D,25,6,1200,450,100,9,480,5,0.6,1.5,10,1,1B1
CM40AH-V02D,25,5.5,1200,450,100,9,480,5,0.6,1.5,10,13,1B1
PS40B-V02D,25,3.5,1200,490,0,9,480,5,1.2,2,12,13,1B1
CG20R3-V02D,25,2,600,480,100,9,480,5,0.6,2,13,14,1B1
CG25R3-V02D,25,2,600,480,100,9,480,5,0.6,2,9,10,1B1
CUJ12A-V01D,35,1.5,600,500,100,9,480,5,1,1.5,11,12,1B2
CG32H3-V02D,50,4,1200,480,100,9,480,5,0.6,1.5,6,7,1B1
CG50R3-V02D,25,4.5,1200,480,100,9,480,5,0.6,1.5,11,12,2B1
CG40R3-V02D,25,3.5,1200,480,100,9,480,5,0.6,1.5,8,9,1B1
CG32R3-V02D,25,2.5,1200,480,100,9,480,5,0.6,1.5,12,13,1B1
CM20AH-V02D,25,3,600,450,100,9,500,5,0.6,1.5,13,14,1B1
CM20AS-V02D,25,5,600,450,100,9,500,5,0.6,1.5,12,13,1B1
XLS25B-V01B,50,3,1200,480,100,9,480,5,0.6,1.5,5,6,3B1
CM20AH-V02D,25,3,600,450,100,9,500,5,0.6,1.5,13,14,1B1
CM20AS-V02D,25,5,600,450,100,9,500,5,0.6,1.5,12,13,1B1
CP9632T-V01B,40,2.5,600,480,100,9,480,5,0.6,1.5,14,15,1B1
CP9640T-V01B,25,2.5,600,480,100,9,480,5,0.6,1.5,13,14,1B1
CP9663T-V01B,60,3,1200,480,100,9,480,5,0.8,1.5,14,15,1B1
CG50H3-V02D,25,4,1200,480,100,9,500,5,0.6,1.5,11,12,2B1
CG40H3-V02D,25,3,1200,490,100,9,500,5,0.6,1.5,8,9,1B1
CQ12C-V02D,25,1.5,600,460,0,9,480,5,0.6,2,14,15,1B2
CQ16C-V02D,55,2.3,600,480,50,9,480,5,0.6,2,14,15,1B1
CJP16B-V01D,60,2.5,600,500,50,9,480,5,0.6,1.5,11,12,1B2
CQ25C-V02D,25,3,600,480,100,9,480,5,0.6,2,6,7,1B1
CQ32C-V02D,25,2.5,600,480,100,9,480,5,0.6,2,8,9,1B1
CQ40C-V02D,25,3,1200,480,100,9,480,5,0.6,2,10,11,1B1
CQ40C-V02D,25,3,1200,480,100,9,480,5,0.6,2,10,11,1B1
CQ12TH-V01D,25,2.7,600,480,50,9,480,5,0.6,1.5,12,13,1B2
SY50MP-V01D,35,5.5,1200,490,50,9,480,5,0.5,1.5,17,18,2B1
CXS25S3-V01D,25,4,1200,480,50,9,480,5,0.6,2,20,21,1B1
MB32T-V01C,25,2,600,480,50,9,480,5,0.3,1.5,9,10,1B3
MB40T-V01C,25,2,600,480,50,9,480,5,1.1,1.5,9,10,1B2
MB50T-V01C,25,3,600,480,100,9,480,5,0.8,1.5,8,9,1B2
MHL16B2-V01D,50,2.5,1200,490,100,9,480,5,1,1.5,14,15,1B1
PS12-V01D,25,1.8,600,470,0,9,480,5,1,1.5,12,1,1B3
PS16-V02D,25,2,600,480,0,9,480,5,0.6,1.5,12,13,1B2
PS20-V01D,25,3,600,490,50,9,480,5,0.6,2,9,10,1B1
CQ16C-V01D,55,2.3,600,480,50,9,480,5,0.6,2,14,15,1B1
CJ10C-V02D,25,4,600,480,0,9,480,5,0.6,1.5,7,8,1B2
CJ16C-V02D,25,4,600,500,0,9,480,5,0.6,1.5,11,12,1B1
CJ10P-V02D,25,2,600,500,0,9,500,5,0.6,1.5,20,21,1B2
CJ16P-V02D,25,3,600,500,0,9,480,5,0.6,1.5,15,16,1B2
MXS12TB-V03D,50,2.5,600,480,0,9,480,5,0.6,1.5,13,14,1B2
CQ20C-V01D,25,2.3,600,480,50,9,480,5,0.6,2,9,10,1B1
MHY16B-V01D,35,3.6,600,480,100,9,480,5,0.6,1.5,15,16,1B1
MGJ06B-V01D,50,2.5,600,480,50,9,480,5,0.6,1.5,13,14,1B2
MHY20B-V02D,35,4.1,1200,480,100,9,480,5,0.6,1.5,19,20,1B1
SY50MP-V02D,60,5,1200,490,50,9,480,5,0.6,1.5,17,12,2B1
DXT155M-V02D,25,4.1,1200,490,50,9,480,5,0.6,1.5,11,12,1B2
MHY25B-V01D,35,5.8,1200,480,100,9,480,5,0.3,1.5,13,14,1B1
CQ20C-V02D,25,2.3,600,480,50,9,480,5,0.6,2,9,10,1B1
CGA0TD-V01C,25,6,1200,480,100,9,500,5,0.6,1.5,8,9,2B1
CG80TD-V01C,25,5,1200,480,100,9,480,5,0.6,1.5,4,5,1B1
CGA0TD-V01C,25,6,1200,480,100,9,500,5,0.6,1.5,8,9,2B1
