press_date_at,pressing_time,die_number,production_number,specific_weight,production_length,production_weight,discard_thickness,discard_weight,pressing_type,plan_billet_quantities,actual_billet_quantities,billet_length,billet_size,work_quantity,total_ng,total_ok,dimension_check_date,etching_check_date,aging_check_date,packing_check_date,code_301,code_302,code_303,code_304,code_305,code_306,code_307,code_308,code_309,code_310,code_311,code_312,code_313,code_314,code_315,code_316,code_317,code_318,code_319,code_320,code_321,code_322,code_323,code_324,code_351,code_401,machine,mfg,productivity,total_time,"time code 300","time code 200"
2024-12-27,3.37,CQ63T3-V01C-ZZZ,C2Q63A-AD141A30K,4.98231,3.000,14.947,35,4.17,●,28,28,1200,9,196,5,191,2025-01-07,2024-12-30,2024-12-30,2025-01-07,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,VN,0.87022,3.37,0.0000,0.0000
2024-12-27,1.78,MXS16B-V02D,P3800401B-M,2.6,2.000,5.2,60,7.14,●,17,17,1200,9,373,10,363,2025-02-13,2024-12-30,2024-12-31,2025-02-14,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Dubai,1.08762,1.78,0.0000,0.0000
2024-12-27,1.57,P5053B3-V01D,P5053-1083,9.8361,2.000,19.672,25,2.98,●,21,21,1200,9,104,10,94,2024-12-30,2024-12-30,2024-12-31,2025-01-06,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,1,0,0,0,0,0,0,0,1,Dubai,1.30592,1.57,0.0000,0.0000
2024-12-26,2.75,XLA25B2-V02B,XLA25-1B-S,7.28,2.000,14.56,35,4.17,●,28,28,1200,9,195,8,187,2024-12-26,2024-12-26,2024-12-27,2024-12-27,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Dubai,1.03242,2.75,0.0000,0.0000
2024-12-26,1.63,CQ32C-V01D,S501A61T35X16X30,2.014,3.000,6.042,25,2.98,●,26,14,600,9,124,11,113,2025-01-08,2024-12-26,2025-01-08,2025-01-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10,0,1,Dubai,0.45872,1.63,0.0000,0.0000
2024-12-26,1.27,CA50T-V02C,S370A63T58X50X30,1.81095,3.000,5.433,25,2.98,●,14,14,600,9,139,4,135,2024-12-30,2024-12-26,2024-12-30,2025-01-13,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,VN,0.59622,1.27,0.0000,0.0000
2024-12-26,0.80,CQ63T-V02C,C2Q63-04-J0782AK,5.53,2.000,11.06,50,5.95,●,12,9,1200,9,82,8,74,2024-12-27,2024-12-26,2024-12-27,2024-12-30,0,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Dubai,1.13372,0.80,0.0000,0.0000
2024-12-26,2.83,MGPM40B2-V02D,MGP40A-AC896-30K,9.68,3.000,29.04,25,2.98,●,16,20,1200,12,120,1,119,2025-01-07,2025-01-06,2025-01-06,2025-01-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,Dubai,1.22992,2.83,0.0000,0.0000
2024-12-26,0.70,XLA25B2-V01B,XLA25-1B-S,7.28,2.000,14.56,35,4.17,●,6,6,1200,9,41,4,37,2024-12-27,2024-12-26,2024-12-30,2025-01-06,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Dubai,0.85282,0.70,0.0000,0.0000
2024-12-26,2.87,CQ40T3-V01B-ZZZ,C2Q40A-AD139A30K,2.77506,3.000,8.325,25,2.98,●,30,30,1200,9,419,4,415,2024-12-30,2024-12-27,2024-12-27,2024-12-27,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,VN,1.21682,2.87,0.0000,0.0000
