date,die_number,production_number,specific_weight,discard_thickness,stretch_reatio,press_start,press_finish,press_type,billet_size,billet_length,billet_lot_no,plan_billet_input,actual_billet_input,actual_ram_speed,actual_die_temp,ok_works,1st_billet_work_length,2nd_billet_work_length,work_qty_from_1st_billet,work_qty_from_2nd_billet,total_ng_works,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,351,billet_No01_work_length,billet_No02_work_length,billet_No03_work_length,billet_No04_work_length,billet_No05_work_length,billet_No06_work_length,billet_No07_work_length,billet_No08_work_length,billet_No09_work_length,billet_No10_work_length,billet_No11_work_length,billet_No12_work_length,billet_No13_work_length,billet_No14_work_length,billet_No15_work_length,billet_No16_work_length,billet_No17_work_length,billet_No18_work_length,billet_No19_work_length,billet_No20_work_length
âüèoì˙,å^î‘,ïiî‘,íPèd,ÉfÉBÉXÉJÅ[Éhå˙,ÉXÉgÉåÉbÉ`,äJén,èIóπ,âüèoéÌï ,ÉrÉåÉbÉgÉTÉCÉY,ÉrÉåÉbÉgí∑Ç≥,ÉrÉåÉbÉgêªë¢î‘çÜ,åvâÊÉrÉåÉbÉgêî,é¿ê—ÉrÉåÉbÉgêî,ÉâÉÄë¨Åié¿ë™Åj,ã‡å^â∑ìxÅié¿ë™Åj,ó«ïiêî,1stÉrÉåÉbÉgâüèoí∑Ç≥,2ndÉrÉåÉbÉgâüèoí∑Ç≥,1stÉrÉåÉbÉgêªïiêî,2ndÉrÉåÉbÉgêªïiêî,ëçïsó«êî,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,351,ÉrÉåÉbÉg01ñ{ñ⁄êªïií∑,ÉrÉåÉbÉg02ñ{ñ⁄êªïií∑,ÉrÉåÉbÉg03ñ{ñ⁄êªïií∑Ç≥,ÉrÉåÉbÉg04ñ{ñ⁄êªïií∑,ÉrÉåÉbÉg05ñ{ñ⁄êªïií∑,ÉrÉåÉbÉg06ñ{ñ⁄êªïií∑Ç≥,ÉrÉåÉbÉg07ñ{ñ⁄êªïií∑,ÉrÉåÉbÉg08ñ{ñ⁄êªïií∑,ÉrÉåÉbÉg09ñ{ñ⁄êªïií∑Ç≥,ÉrÉåÉbÉg10ñ{ñ⁄êªïií∑,ÉrÉåÉbÉg11ñ{ñ⁄êªïií∑,ÉrÉåÉbÉg12ñ{ñ⁄êªïií∑Ç≥,ÉrÉåÉbÉg13ñ{ñ⁄êªïií∑,ÉrÉåÉbÉg14ñ{ñ⁄êªïií∑,ÉrÉåÉbÉg15ñ{ñ⁄êªïií∑Ç≥,ÉrÉåÉbÉg16ñ{ñ⁄êªïií∑,ÉrÉåÉbÉg17ñ{ñ⁄êªïií∑,ÉrÉåÉbÉg18ñ{ñ⁄êªïií∑Ç≥,ÉrÉåÉbÉg19ñ{ñ⁄êªïií∑,ÉrÉåÉbÉg20ñ{ñ⁄êªïií∑
2021-04-01,DXT192M1-V01D,DXT192-11-3,1.85,,,15:00:00,15:00:00,ÅZ,9,600,133,1,1,3.9,472,,32,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-04-03,VV14M1-V01D,DXT199-20-23,2.58,,,10:00:00,10:00:00,ÅZ,9,1200,121,1,1,2.9,474,,46.400001525879,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.400001525879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-04-05,VV15M1-V01D,DXT201-13-13,3.54,,,15:00:00,15:00:00,ÅZ,9,1200,121,1,1,4.2,480,,35,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-04-07,VJ10M-V01D,VJ100-16-7,0.66,,,15:00:00,15:00:00,ÅZ,9,600,133,1,1,1.5,475,,44.810001373291,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.810001373291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-04-09,VJ30M1-V01D,VJ3000-20-1,1.79,,,10:00:00,10:00:00,ÅZ,9,600,133,1,1,2.5,473,,34.200000762939,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.200000762939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-04-09,XLA25BN-V01D,XLA25-3-1B,5.87,,,10:00:00,11:00:00,ÅZ,9,1200,121,2,2,8.5,475,,42.900001525879,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.900001525879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-04-16,CQ50T-V01B,C2Q50-04-J0781-K,4.8,,,15:00:00,15:00:00,ÅZ,9,1200,128,1,1,8.1,481,,23,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-04-20,CUJ12A-V01D,CUJ12A-AD252-20K,1.07,,,15:00:00,15:00:00,ÅZ,9,600,133,1,1,1.5,476,,52,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-04-23,CUJ16A-V01D,CUJ16A-AD253-20K,1.52,,,10:15:00,10:25:00,ÅZ,9,600,133,1,1,2.2,473,,39.299999237061,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.299999237061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-04-23,CUJ20A-V01D,CUJ20A-AD254-20K,2.22,,,10:00:00,10:00:00,ÅZ,9,600,133,1,1,3.1,470,,26.799999237061,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.799999237061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
